zip_code,sex,pct_bachelors
54614,male,12.7
54614,female,21.9
54615,male,12
54615,female,16.3
54616,male,11.8
54616,female,14.5
54618,male,10.2
54618,female,14.6
54619,male,11.1
54619,female,14.6
54621,male,19.2
54621,female,20.7
54622,male,15.2
54622,female,23.5
54623,male,24.4
54623,female,32.8
54624,male,14.4
54624,female,18
54625,male,1
54625,female,22.7
54626,male,14.7
54626,female,16.2
54627,male,17.1
54627,female,21.1
54628,male,13.8
54628,female,14.7
54629,male,19.3
54629,female,26.5
54630,male,19.8
54630,female,26.8
54631,male,15.2
54631,female,22.4
54632,male,16.2
54632,female,26.3
54634,male,14.4
54634,female,17.5
54635,male,12.2
54635,female,14.9
54636,male,24.3
54636,female,32
54637,male,13.1
54637,female,15.4
54638,male,8.2
54638,female,13.6
54639,male,17.9
54639,female,22.5
54641,male,100
54641,female,0
54642,male,14.9
54642,female,19.3
54643,male,0
54643,female,0
54644,male,18.9
54644,female,20
54645,male,19
54645,female,29.2
54646,male,11.9
54646,female,14.5
54648,male,9.4
54648,female,11.7
54650,male,33.5
54650,female,35.9
54651,male,12
54651,female,14.3
54652,male,17.1
54652,female,22.1
54653,male,8.4
54653,female,13.8
54654,male,25.8
54654,female,12.8
54655,male,12.6
54655,female,16.5
54656,male,17.6
54656,female,21.9
54657,male,5.8
54657,female,17.3
54658,male,19.2
54658,female,29
54659,male,8.4
54659,female,14
54660,male,18.5
54660,female,20.5
54661,male,25.9
54661,female,26.6
54664,male,15.3
54664,female,24.3
54665,male,20.4
54665,female,25.8
54666,male,12.3
54666,female,18.9
54667,male,23.1
54667,female,24
54669,male,30.9
54669,female,34.5
54670,male,7.4
54670,female,13
54701,male,37.3
54701,female,39.8
54703,male,23.6
54703,female,29
54720,male,39.4
54720,female,30.1
54721,male,8.5
54721,female,16.4
54722,male,10.7
54722,female,13.7
54723,male,14.2
54723,female,18.5
54724,male,15.9
54724,female,16.2
54725,male,13.4
54725,female,16.6
54726,male,10.7
54726,female,12.4
54727,male,16.5
54727,female,15.8
54728,male,15.6
54728,female,18.9
54729,male,19.8
54729,female,26.9
54730,male,25.8
54730,female,25.5
54731,male,6.6
54731,female,8.6
54732,male,12.7
54732,female,15.9
54733,male,9.8
54733,female,16.7
54734,male,14.9
54734,female,20.1
54736,male,15.8
54736,female,17.3
54737,male,14.5
54737,female,22.7
54738,male,20.6
54738,female,22.8
54739,male,23
54739,female,24.6
54740,male,13.6
54740,female,17.8
54741,male,7.7
54741,female,13
54742,male,23.3
54742,female,21.7
54745,male,16.3
54745,female,15.5
54746,male,11.6
54746,female,8.1
54747,male,11.4
54747,female,16.4
54748,male,16.2
54748,female,6.2
54749,male,14.3
54749,female,18.8
54750,male,18.5
54750,female,19.1
54751,male,34.5
54751,female,29.9
54754,male,11.1
54754,female,8.1
54755,male,16.2
54755,female,18.1
54756,male,13.7
54756,female,18.2
54757,male,16.2
54757,female,23.6
54758,male,17.4
54758,female,22.1
54759,male,16.5
54759,female,23.1
54760,male,17
54760,female,28.2
54761,male,17.3
54761,female,16.4
54762,male,12
54762,female,19.6
54763,male,12.5
54763,female,18
54765,male,0
54765,female,70
54766,male,8.2
54766,female,10.5
54767,male,20.4
54767,female,25.8
54768,male,6
54768,female,11.9
54769,male,33.5
54769,female,37.2
54770,male,16.2
54770,female,16.8
54771,male,4.9
54771,female,12.8
54772,male,19.6
54772,female,20
54773,male,15.1
54773,female,19.3
54801,male,25
54801,female,23.7
54805,male,9.3
54805,female,13.8
54806,male,25.2
54806,female,28.3
54810,male,16.1
54810,female,19.4
54812,male,13.3
54812,female,14.9
54813,male,9.1
54813,female,11.2
54814,male,25.3
54814,female,32.8
54817,male,27.5
54817,female,20.1
54819,male,11.6
54819,female,14.8
54820,male,13.9
54820,female,23.2
54821,male,29.4
54821,female,23.9
54822,male,16.9
54822,female,17.3
54824,male,10.5
54824,female,14.2
54826,male,16.2
